pk,dim_year,dim_hour,dim_user,trip_count,duration_sum
95fc572e-09f6-4a60-a619-b4bd77a441fa,2021,9,casual,38400,43864229
d588b900-c717-4c8b-adad-53211ce2e140,2021,10,annual,86651,64246699
4ac60488-3b95-41d5-a31c-091f48405b65,2021,10,casual,46229,60523433
4a465140-5673-4bc2-8c84-51d6576ea18c,2021,11,annual,102698,77063762
d0a4b684-c0ec-49e3-a68b-0a68f19b5535,2021,11,casual,62571,88299703
22ccd134-a416-4382-bfca-7f1c9c0a4b3e,2021,12,annual,125367,93318853
9ce8f407-9891-4ceb-9d77-3ad25c8be3fa,2021,12,casual,80806,115433227
ee3c3d54-7cd6-424d-9241-17cbdc6e6eac,2021,13,annual,127828,98440976
e02ccaac-af66-45e7-99f1-fc7f6c850c79,2021,13,casual,92216,138731878
6132b3ea-e92a-48a3-82b3-7e11ab556e81,2021,14,annual,133427,104731753
a2872236-f333-4d2b-b603-d7615e36bc6e,2021,14,casual,103325,157806308
699b68d5-b975-4093-9606-bf88a690dfbe,2021,15,annual,145858,115267972
4cc25fdb-be47-455c-a095-480eccee8afa,2021,15,casual,112068,168634950
2ba6870f-f6fb-4f19-9bf2-f2c8c6fe1ac1,2021,16,annual,169506,135181023
767aacaf-f753-4d8c-a6c7-dcd123655d94,2021,16,casual,122310,179051586
e9dfe5da-f1ea-4043-a2cb-93397afa1ae0,2021,17,annual,210484,166590096
6235a92c-ea6d-4dec-ae2c-4d153fe0a238,2021,17,casual,138249,198570034
9d85c6ca-6a4b-498a-8048-f4b773b43603,2021,18,annual,200411,159528679
313474d9-5609-4eff-8c1b-f1318ac74373,2021,18,casual,137680,198810867
67f9135c-45f0-40c5-94c4-056d60a041a6,2021,19,annual,163790,130947904
e08e71db-f9df-419e-8ccc-fad8b61c5139,2021,19,casual,118351,175410110
706dafa4-7f11-4140-9e09-a7a2d3d5a658,2021,20,annual,121066,97176780
295afd02-5a9c-42e5-9cbd-54d671dc4b57,2021,20,casual,91559,135413110
87133974-1fa1-4a27-a006-41dc1d171589,2021,21,annual,84105,66246807
18d7ebd8-1cf6-4d3f-bd49-d15e4a11bb44,2021,21,casual,65590,95087598
9bd6f400-8bb6-4e1c-8e01-7ea555acf0f8,2021,22,annual,57570,45306441
2373f373-67eb-43cb-a243-4750f8ccaa1b,2021,22,casual,49196,71045312
53be6741-7feb-41a6-a5ca-f51d849a7cec,2021,23,annual,41407,30956058
7461ddaf-3077-42ff-8640-c9e07c6db912,2021,23,casual,35751,54749394
957bb827-5c08-40f6-ab65-5837c0e20b8f,2022,0,annual,26107,18362194
41b2f870-d57c-4a7e-8cf0-ece42c696ca8,2022,0,casual,49911,59703253
e10f63ec-86df-4fbf-b122-7b92c186ffe0,2022,1,annual,16532,11742986
86fc370a-7c56-4bca-b20e-5d087712ca58,2022,1,casual,32545,45663324
c6e7e187-5f7c-4f9f-93ad-c5f791b0e23e,2022,2,annual,11712,8351406
7c9b3493-8f91-424d-bd41-4e6a013e263f,2022,2,casual,25057,32731436
739bc458-8d16-4d00-8ef2-c30ac02e5ef5,2022,3,annual,6542,4820129
6c42a6c2-a6ce-43a4-8d90-57c987f3a8ea,2022,3,casual,13216,19101642
30288335-229a-48fb-be65-1e844259076a,2022,4,annual,5135,3314060
da0ddc7d-81e2-4a09-801a-405ecd87cb8b,2022,4,casual,8234,8891578
a76d419d-bcfa-4adb-aad2-3bbe3b282d61,2022,5,annual,10255,6098664
e941af80-eeaf-4aff-a67d-942c3658a8d7,2022,5,casual,11615,12337620
9e635d08-17b9-45bf-8812-8c54c1d9da06,2022,6,annual,30029,18041684
06686b9b-8da6-4a27-bb68-1976643f3b20,2022,6,casual,30788,24253050
c3f6d93b-98cc-48ca-aa91-78b7d6a93b04,2022,7,annual,62377,41140380
7f969d09-b803-4cd7-9f50-065e17892f22,2022,7,casual,65084,54440635
ccc8c538-f6aa-45f3-8d17-fd133e82e50c,2022,8,annual,110788,76325835
152a91ba-1246-487f-97ac-8c3238420e49,2022,8,casual,125622,105687333
52074cd8-7bf9-470e-8309-13ed078b137c,2022,9,annual,84173,55205409
fb212e38-eb0b-4483-bb59-4ef117310ffb,2022,9,casual,102042,95831626
d9c295f4-2fae-4058-8dfe-c7a95ffc0698,2022,10,annual,69273,45608587
4183cfbc-6310-4a4a-a7ee-ce9df4f2e894,2022,10,casual,99340,99771131
945a881d-562b-439a-810c-3bba53b9a0e1,2022,11,annual,78459,53573994
8fd5cf1f-7fff-45df-b572-e399a90d3a4b,2022,11,casual,125158,136499328
67928606-202c-46a2-ad68-cb6260f2371c,2022,12,annual,92576,62159851
691c6590-085c-4f43-be52-4722c98639a6,2022,12,casual,155426,173550094
e80d4627-93de-4a3e-8b11-98da92df208d,2022,13,annual,94841,65103988
6d6f62cd-8c8d-47c6-adc5-b22d78e5b277,2022,13,casual,170206,195048643
8799451a-a13d-4f37-9a2c-97bba411e4f4,2022,14,annual,95334,67425107
8e7e4198-55fa-4574-b0f7-dc7ee864b828,2022,14,casual,181398,214961870
af6a883c-23a6-4b3f-a5a4-94feaa0686dd,2022,15,annual,107473,75820542
3a15f7eb-2440-46ff-b4ce-4285085219c3,2022,15,casual,199840,234867273
a129290d-761c-473e-94e4-8acb034f8c82,2022,16,annual,135251,97170525
f7de2e64-b389-4837-ba7e-ee87e9762484,2022,16,casual,232951,266470051
9bc1fe1e-3a67-4453-a2f9-19face67262f,2022,17,annual,174639,128439556
fbd5e92b-b646-4059-a443-fccc0baa10ab,2022,17,casual,285105,318199568
b66b6fba-136e-4268-9daf-2e891a0f907e,2022,18,annual,154909,115212317
8291b3f4-fd7d-44e1-b5d9-ab7bcf755210,2022,18,casual,266001,303048805
d798bd36-332f-4670-8318-d8603a1ea902,2022,19,annual,119244,88564666
fda49162-90f3-4106-a821-efcb562a6af8,2022,19,casual,217809,250434933
38f4acf4-e17f-428d-bd2b-0e50b160e785,2022,20,annual,88988,65133528
a6101188-9ef6-407d-b5a6-71b9eebeb956,2022,20,casual,167608,195427618
65f3638b-26aa-425c-b1ff-fb37320af9a4,2022,21,annual,69040,50884376
82495555-0761-40e6-98fd-3a7ac32ac4f9,2022,21,casual,129262,149112687
76517353-cc62-424a-b73e-a9393ddd2c5f,2022,22,annual,53949,39692052
98b09fd7-de0e-4c65-a10d-96849f48ee36,2022,22,casual,101720,119208823
eff21731-36b0-406c-bb3e-029ccf962166,2022,23,annual,41355,29731289
ef98f7e1-0d53-448a-8a16-333f41d18552,2022,23,casual,80919,96488898
